Robert Hecht,located_in,Switzerland
Giacomo Medici,sold_to,Robert Hecht
Robert Hecht,worked_with,Fritz Bürki
Fritz Bürki,located_in,Zurich
Dietrich von Bothmer,worked_for,the Metropolitan Museum
Robert Hecht,sold_to,Dietrich von Bothmer
Robert Hecht,claimed_to_buy_from,Dikran Sarrafian
the Metropolitan Museum,investigated,Dikran Sarrafian
second,discovered_by,Dikran Sarrafian
Dikran Sarrafian,located_in,Beirut
second,sold_to,Leon Levy
Dikran Sarrafian,sold_to,Leon Levy
Leon Levy,sold_to,Shelby White
second,looted_from,Italy
second,returned_to,Italy
Hecht ’ s,home_of,Robert Hecht
handwritten ‘ memoir ’,created_by,Robert Hecht
Giacomo Medici,stored_antiquities_in,Geneva storerooms
Geneva storerooms,raided_by,Carabinieri
Hecht ’ s,raided_by,Carabinieri
Hecht  s,located_in,Paris
two,listed_on,handwritten ‘ memoir ’
The Euphronios  Sarpedon  krater,part_of,two
Carabinieri,investigated,Marion True
Marion True,curator_of,the J Paul Getty Museum
The Euphronios  Sarpedon  krater,returned_to,the Villa Giulia
the Villa Giulia,located_in,Rome
Aymara Textiles,from_culture,Aymara
Aymara Textiles,looted_from,Coroma
Coroma,located_in,Potosí
Potosí,located_in,Bolivia
Uyuni,located_in,Bolivia
Oruro,located_in,Bolivia
Coroma,home_of,Aymara
Coroma,home_of,Quechua
the Bolivian National Archives,part_of,Bolivia
John Murra,worked_with,Cristina Bubba
Cristina Bubba,worked_with,the Bolivian National Archives
the United States Customs,partners_with,the Bolivian National Archives
the Bolivian National Archives,excavated,Coroma
the Smithsonian Institution,located_in,the United States
San Francisco,located_in,the United States
the United States Customs,part_of,the United States
Canada,bordered_by,the United States
US,alias,the United States
State Department Cultural Property Advisory,part_of,the United States
the United States,home_of,John Murra
Aymara Textiles,smuggled_to,San Francisco
Aymara Textiles,smuggled_to,Canada
the Royal Canadian Mounted Police,part_of,Canada
Nova Scotia,located_in,Canada
San Francisco,home_of,Steven Berger
Roger Cornelius Russell Yorke,arrested_by,the Royal Canadian Mounted Police
Steven Berger,sold_antiquities_to,Roger Cornelius Russell Yorke
Truro,home_of,Roger Cornelius Russell Yorke
Truro,located_in,Nova Scotia
La Paz,located_in,Bolivia
Roger Cornelius Russell Yorke,operated_in,La Paz
State Department Cultural Property Advisory,worked_with,Bolivia
Bolivia,part_of,"UNESCO Convention on the Means of Prohibiting and Preventing the Illicit Import , Export and Transfer of Ownership of Cultural Property"
Canada,*,"UNESCO Convention on the Means of Prohibiting and Preventing the Illicit Import , Export and Transfer of Ownership of Cultural Property"
the United States,*,"UNESCO Convention on the Means of Prohibiting and Preventing the Illicit Import , Export and Transfer of Ownership of Cultural Property"
Cultural Property Implementation Act,part_of,Bolivia
the United States,part_of,Cultural Property Implementation Act
Michael Ratner,worked_for,Coroma
Bill Verick,worked_for,Coroma
Jordan Eth,worked_for,Coroma
Michael Ratner,investigated,Stephen Berger
Bill Verick,investigated,Stephen Berger
Jordan Eth,investigated,Stephen Berger
Cultural Property Export and Import Act,part_of,Canada
the Thai Fine Arts,operated_in,Ban Chiang
the University of Pennsylvania Museum,operated_in,Ban Chiang
the Fine Arts Department,operated_in,Ban Chiang
Ban Chiang,located_in,Udon Thani province
Udon Thani province,located_in,Thailand
Bangkok,located_in,Thailand
Udon,located_in,Thailand
Udon,part_of,US
Chester Gorman,worked_with,University of Pennsylvania
Chester Gorman,operated_in,Ban Chiang
California,looted_from,Ban Chiang
Ban Chiang,listed_on,the UNESCO World Heritage List
